WV;l;{ts '2016-11-09 15:25:15'}
WV577311108;Clinton;Hillary;|WV570481108;Trump;Donald;|WV577321108;Johnson;Gary;|WV577671108;Stein;Jill;|WV577831108;Castle;Darrell;|WV570601108;Justice;Jim;|WV570581108;Cole;Bill;|WV577621108;Pritt;Charlotte;|WV577841108;Hudok;Phil;|WV577341108;Moran;David;|WV570821108;Manypenny;Mike;|WV567401108;McKinley;David;|WV570841108;Hunt;Mark;|WV567381108;Mooney;Alex;|WV570911108;Detch;Matt;|WV567391108;Jenkins;Evan;|WV577331108;Lawhorn;Zane;
WV;H;G;0;3;;100.0;;;49275;;||WV570911108;Dem;49309;24.0;;X;;;1|WV567391108;GOP;139700;67.9;X;X;X;;2|WV577331108;Lib;16777;8.2;;X;;;3
WV;G;G;0;West Virginia;X;100.0;X;;49136;;||WV570601108;Dem;348071;49.1;X;X;;;1|WV570581108;GOP;300141;42.3;;X;;;2|WV577621108;Mnt;41706;5.9;;X;;;3|WV577841108;CST;4007;0.6;;X;;;4|WV577341108;Lib;15205;2.1;;X;;;5
WV;G;G;54001;Barbour;X;100.0;X;;49136;;||WV570601108;Dem;2687;44.3;X;X;;;1|WV570581108;GOP;2915;48.1;;X;;;2|WV577621108;Mnt;262;4.3;;X;;;3|WV577841108;CST;92;1.5;;X;;;4|WV577341108;Lib;110;1.8;;X;;;5
WV;G;G;54003;Berkeley;X;100.0;X;;49136;;||WV570601108;Dem;14856;35.6;X;X;;;1|WV570581108;GOP;23069;55.2;;X;;;2|WV577621108;Mnt;2308;5.5;;X;;;3|WV577841108;CST;267;0.6;;X;;;4|WV577341108;Lib;1280;3.1;;X;;;5
WV;G;G;54005;Boone;X;100.0;X;;49136;;||WV570601108;Dem;5636;64.3;X;X;;;1|WV570581108;GOP;2609;29.8;;X;;;2|WV577621108;Mnt;397;4.5;;X;;;3|WV577841108;CST;38;0.4;;X;;;4|WV577341108;Lib;88;1.0;;X;;;5
WV;G;G;54007;Braxton;X;100.0;X;;49136;;||WV570601108;Dem;2948;58.8;X;X;;;1|WV570581108;GOP;1755;35.0;;X;;;2|WV577621108;Mnt;244;4.9;;X;;;3|WV577841108;CST;14;0.3;;X;;;4|WV577341108;Lib;56;1.1;;X;;;5
WV;G;G;54009;Brooke;X;100.0;X;;49136;;||WV570601108;Dem;4537;48.3;X;X;;;1|WV570581108;GOP;4059;43.2;;X;;;2|WV577621108;Mnt;494;5.3;;X;;;3|WV577841108;CST;75;0.8;;X;;;4|WV577341108;Lib;221;2.4;;X;;;5
WV;G;G;54011;Cabell;X;100.0;X;;49136;;||WV570601108;Dem;17945;54.5;X;X;;;1|WV570581108;GOP;11933;36.2;;X;;;2|WV577621108;Mnt;2298;7.0;;X;;;3|WV577841108;CST;143;0.4;;X;;;4|WV577341108;Lib;628;1.9;;X;;;5
WV;G;G;54013;Calhoun;X;100.0;X;;49136;;||WV570601108;Dem;1187;45.6;X;X;;;1|WV570581108;GOP;1153;44.3;;X;;;2|WV577621108;Mnt;202;7.8;;X;;;3|WV577841108;CST;14;0.5;;X;;;4|WV577341108;Lib;45;1.7;;X;;;5
WV;G;G;54015;Clay;X;100.0;X;;49136;;||WV570601108;Dem;1674;55.6;X;X;;;1|WV570581108;GOP;1134;37.6;;X;;;2|WV577621108;Mnt;151;5.0;;X;;;3|WV577841108;CST;16;0.5;;X;;;4|WV577341108;Lib;37;1.2;;X;;;5
